City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,maputo,-25.9653,32.5892,62.28,67,0,13.8,MZ,1690424300
227,san luis de la loma,17.2706,-100.8939,82.24,79,51,6.76,MX,1690424300
228,bechar,31.6167,-2.2167,100.72,11,20,8.05,DZ,1690424145
229,ar ruways,24.1103,52.7306,91.6,74,99,6.71,AE,1690424301
230,lubumbashi,-11.6609,27.4794,53.4,63,2,3.33,CD,1690424301
231,tondon,10.3667,-13.35,74.1,99,100,0.76,GN,1690424301
232,shimoda,34.6667,138.95,91.11,66,22,5.93,JP,1690424301
233,novyy urengoy,66.0833,76.6333,72.28,59,69,5.86,RU,1690424301
234,turochak,52.2576,87.1224,69.57,61,63,1.79,RU,1690424301
235,milici,44.1711,19.0903,54.77,95,100,3.91,BA,1690424302
236,uyuni,-20.4597,-66.825,38.68,24,0,6.44,BO,1690424302
237,tofol,5.3248,163.0078,81.97,78,100,5.75,FM,1690424302
238,huarmey,-10.0681,-78.1522,68.4,82,85,10.27,PE,1690424302
239,chonchi,-42.6128,-73.8092,47.12,98,100,2.64,CL,1690424028
240,kimbe,-5.5502,150.1429,88.72,59,98,9.71,PG,1690424302
241,sao vicente,-23.9631,-46.3919,78.28,26,2,4.76,BR,1690424155
242,pedernales,18.0384,-71.744,83.55,70,100,10.76,DO,1690424302
243,wailua homesteads,22.0669,-159.378,84.63,79,75,16.11,US,1690424028
244,egilsstadir,65.2653,-14.3948,42.71,93,75,12.66,IS,1690424303
245,brumadinho,-20.1433,-44.1997,66.72,63,100,1.57,BR,1690424303
246,katsuren-haebaru,26.3369,127.8719,86.02,84,100,16.11,JP,1690424303
247,freetown,8.484,-13.2299,77.25,89,98,4.99,SL,1690424303
248,sisimiut,66.9395,-53.6735,40.06,90,42,6.85,GL,1690424303
249,sambava,-14.2667,50.1667,69.55,82,55,12.48,MG,1690424303
250,san patricio,28.017,-97.5169,86.18,72,53,12.84,US,1690424304
251,mamuju,-2.6748,118.8885,84.33,64,28,1.92,ID,1690424304
252,ketchikan,55.3422,-131.6461,66.67,68,75,9.22,US,1690424304
253,kitimat,54.0524,-128.6534,68.68,64,90,5.01,CA,1690424304
254,katsuura,35.1333,140.3,84.07,71,22,8.41,JP,1690424304
255,suntar,62.1444,117.6319,66.25,54,96,9.33,RU,1690424304
256,jianguang,28.1938,115.7836,86.58,70,7,11.16,CN,1690424304
257,talladega,33.4359,-86.1058,81.07,83,0,0.0,US,1690424305
258,remire-montjoly,4.9167,-52.2667,77.04,94,75,0.0,GF,1690424022
259,vorgashor,67.5833,63.95,55.71,92,100,4.68,RU,1690424305
260,ashmun,30.2986,30.9764,85.05,52,0,4.65,EG,1690424305
261,kharabali,47.4196,47.2568,75.81,47,0,6.06,RU,1690424305
262,kailua-kona,19.6406,-155.9956,85.5,81,40,12.66,US,1690424305
263,karasburg,-28.0167,18.75,41.83,77,0,5.64,,1690424305
264,trinity beach,-16.7888,145.6968,77.02,83,75,21.85,AU,1690424306
265,muzaffarabad,34.37,73.4711,80.1,80,12,1.63,PK,1690424306
266,kavaratti,10.5669,72.642,82.65,73,100,13.62,IN,1690424306
267,fougamou,-1.2154,10.5838,69.71,94,38,2.17,GA,1690424306
268,kalabo,-14.97,22.6814,53.85,53,0,6.02,ZM,1690424306
269,letterkenny,54.95,-7.7333,59.97,98,100,6.69,IE,1690424306
270,bosaso,11.2842,49.1816,89.24,41,15,27.76,SO,1690424306
271,hamilton,39.1834,-84.5333,84.42,72,0,16.11,US,1690424267
272,amga,60.8953,131.9608,72.72,49,100,4.65,RU,1690424307
273,pacific grove,36.6177,-121.9166,70.25,89,100,9.22,US,1690424307
274,hasaki,35.7333,140.8333,102.31,73,13,10.71,JP,1690424307
275,vacaria,-28.5122,-50.9339,50.68,97,85,7.78,BR,1690424009
276,korsakov,46.6328,142.7813,82.24,67,89,12.71,RU,1690424307
277,saint-philippe,-21.3585,55.7679,65.79,82,55,10.83,RE,1690424307
278,alofi,-19.0595,-169.9187,76.89,65,75,3.44,NU,1690424124
279,chinde,26.8418,88.0763,71.29,79,94,2.8,NP,1690424308
280,east ballina,-28.8667,153.5833,67.8,51,19,5.08,AU,1690424308
281,san pedro pochutla,15.7333,-96.4667,83.91,91,57,5.35,MX,1690424308
282,silvania,-16.6589,-48.6081,64.02,41,0,4.56,BR,1690424308
283,ruidoso,33.3317,-105.673,84.27,27,0,9.22,US,1690424239
284,ugoofaaru,5.6667,73.0,82.27,72,100,2.48,MV,1690424309
285,vredendal,-31.6683,18.5012,54.19,90,100,4.56,ZA,1690424309
286,puerto carreno,6.189,-67.4859,79.11,84,100,5.06,CO,1690424309
287,port douglas,-16.4833,145.4667,74.55,67,36,15.55,AU,1690424309
288,hauterive,46.0901,3.4459,59.76,81,42,4.68,FR,1690424309
289,wuwei,37.9281,102.6414,79.92,34,100,2.1,CN,1690424309
290,fale old settlement,-9.3852,-171.2468,83.3,73,29,17.78,TK,1690424034
291,zaragoza,41.6561,-0.8773,70.81,55,0,6.91,ES,1690424034
292,formosa do rio preto,-11.0483,-45.1931,67.96,46,48,3.13,BR,1690424310
293,holualoa,19.6228,-155.9522,81.77,82,40,12.66,US,1690424310
294,revda,56.801,59.9303,59.85,93,60,3.47,RU,1690424310
295,qaqortoq,60.7167,-46.0333,43.97,83,89,3.22,GL,1690424055
296,santa elena de uairen,4.6167,-61.1333,67.75,94,100,1.59,VE,1690424023
297,georgetown,5.4112,100.3354,85.93,83,40,3.44,MY,1690424227
298,prey veng,11.4868,105.3253,84.56,69,100,7.2,KH,1690424311
299,zambezi,-13.5432,23.1047,53.35,51,0,5.06,ZM,1690424039
300,oamaru,-45.0784,170.9801,49.37,56,3,1.01,NZ,1690424311
301,manokwari,-0.8667,134.0833,83.28,71,54,5.53,ID,1690424054
302,westport,41.1415,-73.3579,79.02,78,0,6.91,US,1690424311
303,kalemie,-5.9475,29.1947,68.0,66,73,3.02,CD,1690424311
304,nova sintra,14.8667,-24.7167,73.51,85,71,16.2,CV,1690424311
305,ntoum,0.3833,9.7833,76.77,84,95,2.37,GA,1690424312
306,kirakira,-10.4544,161.9205,82.36,81,100,14.41,SB,1690424312
307,itapuranga,-15.5622,-49.9486,71.4,36,0,4.27,BR,1690424312
308,east london,-33.0153,27.9116,64.0,69,100,12.24,ZA,1690424312
309,valle de la pascua,9.2155,-66.0073,74.08,93,100,1.32,VE,1690424312
310,tam ky,15.5667,108.4833,89.56,56,100,4.38,VN,1690424312
311,tura,25.5198,90.2201,75.69,97,100,5.17,IN,1690424025
312,vadso,70.0744,29.7487,50.16,93,100,2.3,NO,1690424312
313,nar'yan-mar,67.6713,53.087,63.55,70,99,3.74,RU,1690424313
314,valentin gomez farias,28.2167,-106.5833,81.82,24,1,8.81,MX,1690424313
315,pimentel,-6.8367,-79.9342,71.89,83,0,16.11,PE,1690424313
316,durant,33.994,-96.3708,89.96,57,0,4.61,US,1690424093
317,hudiksvall,61.729,17.1036,52.66,93,69,4.21,SE,1690424313
318,kapa'a,22.0752,-159.319,85.98,79,75,16.11,US,1690424313
319,bardai,11.65,7.2333,73.09,84,97,8.93,NG,1690424313
320,laghouat,33.8,2.8651,84.7,18,0,8.08,DZ,1690424314
321,khilok,51.3674,110.4676,56.98,97,100,5.28,RU,1690424314
322,whakatane,-37.9585,176.9854,52.77,73,99,1.3,NZ,1690424314
323,shenkursk,62.1091,42.896,59.25,99,100,4.34,RU,1690424314
324,ulsteinvik,62.3432,5.8487,60.91,92,97,1.01,NO,1690424314
325,petropavlovsk-kamchatsky,53.0452,158.6483,72.19,64,20,11.18,RU,1690424314
326,mount gambier,-37.8333,140.7667,58.44,56,1,12.44,AU,1690424314
327,badger,64.8,-147.5333,85.51,52,75,0.0,US,1690424314
328,minot air force base,48.4209,-101.3391,80.98,49,0,5.75,US,1690424315
329,kalampaka,39.7044,21.6269,70.0,69,10,5.61,GR,1690424315
330,grand-bassam,5.2118,-3.7388,76.96,93,85,5.97,CI,1690424315
331,labuan,5.2767,115.2417,86.09,74,65,3.0,MY,1690424076
332,merizo village,13.2658,144.6691,81.37,91,100,11.72,GU,1690424315
333,buarcos,40.166,-8.8768,66.67,90,62,13.47,PT,1690424315
334,ingraj bazar,25.0,88.15,86.65,69,78,11.03,IN,1690424315
335,itaituba,-4.2761,-55.9836,77.02,58,20,0.69,BR,1690424315
336,dalbandin,28.8947,64.4101,83.1,65,62,6.73,PK,1690424315
337,mersa matruh,31.3525,27.2453,79.75,75,0,8.41,EG,1690424316
338,afaahiti,-17.75,-149.2833,75.07,83,69,5.91,PF,1690424316
339,geraldton,-28.7667,114.6,57.61,88,100,6.91,AU,1690424050
340,bairnsdale,-37.8333,147.6167,62.78,29,0,2.33,AU,1690424316
341,masterton,-40.9597,175.6575,45.9,86,95,7.96,NZ,1690424316
342,dalandzadgad,43.5708,104.425,79.29,31,9,10.71,MN,1690424317
343,vryheid,-27.7695,30.7917,52.12,55,0,7.23,ZA,1690424317
344,diego martin,10.7005,-61.5342,77.4,94,82,7.14,TT,1690424317
345,along,28.1667,94.7667,77.67,88,93,1.34,IN,1690424318
346,flying fish cove,-10.4217,105.6791,78.48,83,100,11.5,CX,1690424077
347,dalnegorsk,44.5604,135.5701,89.53,42,20,5.01,RU,1690424318
348,abepura,-2.6333,140.5833,79.61,78,40,9.22,ID,1690424318
349,imamoglu,37.2651,35.6572,76.23,68,0,0.87,TR,1690424318
350,yaren,-0.5472,166.916,83.95,76,40,9.95,NR,1690424318
351,north bend,43.4065,-124.2243,65.16,82,0,19.57,US,1690424318
352,hemsby,52.6971,1.6918,61.41,95,100,15.77,GB,1690424319
353,aripuana,-9.1667,-60.6333,74.77,54,13,0.83,BR,1690424319
354,tuxpan,19.55,-103.4,71.55,91,92,1.1,MX,1690424319
355,kiama,-34.6833,150.8667,69.26,64,0,10.0,AU,1690424319
356,brookhaven,31.5791,-90.4407,80.8,58,0,4.61,US,1690424093
357,takoradi,4.8845,-1.7554,75.29,93,97,5.55,GH,1690424175
358,simga,21.6333,81.7,83.25,74,36,10.11,IN,1690424319
359,khanty-mansiysk,61.0042,69.0019,62.71,82,0,4.47,RU,1690424319
360,port saint john's,-31.6229,29.5448,66.51,65,40,19.51,ZA,1690424032
361,malakal,9.5334,31.6605,70.38,98,100,2.77,SS,1690424320
362,saint-pierre,-21.3393,55.4781,65.88,82,100,5.75,RE,1690424029
363,nyurba,63.2842,118.3319,65.28,50,86,6.73,RU,1690424320
